State,County,Male
Texas,Terry County,53.1
Texas,Titus County,49.4
Texas,Upshur County,49.5
Texas,Uvalde County,48.9
Texas,Ward County,48.3
Texas,Williamson County,49.2
Texas,Wise County,50.4
Texas,Zavala County,49.3
Utah,Davis County,50.2
Tennessee,White County,48.9
Tennessee,Wilson County,49
Texas,Archer County,50.4
Texas,Armstrong County,48.8
Texas,Bastrop County,51.2
Texas,Blanco County,50.5
Texas,Brooks County,49.6
Texas,Burnet County,49.1
Texas,Camp County,49.1
Texas,Castro County,50.7
Texas,Cochran County,49.1
Texas,Concho County,68.3
Texas,Coryell County,48.9
Texas,Crane County,49
Texas,Dawson County,56.5
Texas,DeWitt County,52
Texas,Dimmit County,48.4
Texas,Edwards County,51
Texas,Fayette County,49.2
Texas,Franklin County,49.2
Texas,Garza County,63.3
Virginia,Montgomery County,51.7
Virginia,Nelson County,48.6
Virginia,Patrick County,49.2
Virginia,Powhatan County,53.9
Virginia,Pulaski County,49.4
Virginia,Russell County,49
Virginia,Warren County,49.7
Virginia,Wythe County,48.9
Virginia,Alexandria city,48.1
Virginia,Bedford city,46.2
Virginia,Buena Vista city,46.5
Virginia,Charlottesville city,47.7
Virginia,Harrisonburg city,46.6
Virginia,Hopewell city,46.4
Virginia,Martinsville city,45.5
Virginia,Richmond city,47.7
Virginia,Salem city,47.4
Virginia,Waynesboro city,47.6
Washington,Cowlitz County,49.4
Washington,Franklin County,51.7
Washington,Lewis County,50
Washington,Mason County,51.7
Washington,Spokane County,49.4
West Virginia,Barbour County,49.4
West Virginia,Boone County,49.7
West Virginia,Calhoun County,50.1
West Virginia,Gilmer County,60.5
West Virginia,Jackson County,49.4
West Virginia,Marion County,48.8
West Virginia,Monongalia County,51.6
West Virginia,Nicholas County,49.2
West Virginia,Preston County,51.6
West Virginia,Summers County,44.9
West Virginia,Webster County,49.5
Wisconsin,Adams County,53.8
Wisconsin,Bayfield County,51.4
Wisconsin,Clark County,50.7
Wisconsin,Door County,49.2
Wisconsin,Dunn County,50.5
Wisconsin,Fond du Lac County,49.1
Wisconsin,Green Lake County,49.9
Wisconsin,Iowa County,50.1
Wisconsin,Jackson County,53.2
Wisconsin,Langlade County,50.2
Wisconsin,Marquette County,50.7
Wisconsin,Monroe County,50.7
Wisconsin,Polk County,50.2
Wisconsin,Rusk County,50
Wisconsin,Trempealeau County,50.8
Wisconsin,Washington County,49.6
Wisconsin,Wood County,49.2
Wyoming,Natrona County,50.3
Wyoming,Platte County,49.6
Wyoming,Sheridan County,50
