State,County,White,Black,Hispanic,Asian,Native.American.Alaska.Native
Kansas,Kingman County,96.9,0.2,2.5,0.5,0.6
Kansas,Lincoln County,97.4,0.3,2.2,0.2,0.5
Kansas,Marion County,96,0.8,2.3,0.2,0.6
Kansas,Morris County,96,0.4,3.6,0.2,0.5
Kansas,Ness County,95.6,0.6,7.4,0.1,0.3
Kansas,Pawnee County,90.7,4.7,6.6,0.5,0.6
Kansas,Reno County,90.6,3,8.1,0.5,0.7
Kansas,Rooks County,97.5,0.5,2.1,0.4,0.3
Kansas,Sedgwick County,76.3,9.3,13,4.1,1.2
Kansas,Stafford County,92.6,0.3,11.9,0.4,1.2
Kansas,Trego County,97.3,0.4,1.7,0.2,0.2
Kansas,Wichita County,88.3,0.9,24.6,0.1,0.5
Kansas,Wilson County,95.6,0.3,2.3,0.4,1.1
Kentucky,Adair County,94.9,2.7,1.7,0.2,0.2
Kentucky,Allen County,97,0.8,1.5,0.2,0.3
Kentucky,Bell County,95.6,2.2,0.7,0.3,0.2
Kentucky,Breathitt County,98.3,0.3,0.6,0.5,0.1
Kentucky,Butler County,97,0.4,2.5,0.2,0.3
Kentucky,Carter County,97.8,0.5,1.2,0.2,0.2
Kentucky,Edmonson County,96.9,1.4,0.8,0.2,0.3
Kentucky,Estill County,98.5,0.2,0.7,0.1,0.2
Kentucky,Gallatin County,94.7,1.3,4.3,0.2,0.1
Kentucky,Grant County,96.7,0.7,2.3,0.3,0.2
Kentucky,Hart County,92.9,4.9,1.4,0.2,0.2
Kentucky,Hopkins County,90.1,6.6,1.6,0.6,0.1
Kentucky,Kenton County,91,4.6,2.6,0.9,0.2
Kentucky,Lee County,96.4,2.3,0.7,0.1,0.3
Kentucky,Logan County,90.1,6.6,2.4,0.2,0.2
Kentucky,Madison County,91.6,4.4,2.2,0.9,0.3
Kentucky,Metcalfe County,96.8,1.5,1.1,0.1,0.1
Kentucky,Montgomery County,94.5,2.8,2.5,0.3,0.2
Kentucky,Nelson County,91.9,5,2,0.5,0.1
